"","1","2","3","4","5","6"
"97",0.62799,0.62799,0.62799,0.62799,0.62799,0.62799
"98",0.6074,0.6074,0.6074,0.6074,0.6074,0.6074
"99",0.58726,0.58726,0.58726,0.58726,0.58726,0.58726
"100",0.56772,0.56772,0.56772,0.56772,0.56772,0.56772
"101",0.5489,0.5489,0.5489,0.5489,0.5489,0.5489
"102",0.5309,0.5309,0.5309,0.5309,0.5309,0.5309
"103",0.5138,0.5138,0.5138,0.5138,0.5138,0.5138
"104",0.49767,0.49767,0.49767,0.49767,0.49767,0.49767
"105",0.48253,0.48253,0.48253,0.48253,0.48253,0.48253
"106",0.46841,0.46841,0.46841,0.46841,0.46841,0.46841
"107",0.45532,0.45532,0.45532,0.45532,0.45532,0.45532
"108",0.44323,0.44323,0.44323,0.44323,0.44323,0.44323
"109",0.43212,0.43212,0.43212,0.43212,0.43212,0.43212
"110",0,0,0,0,0,0
