"","1","2","3","4","5","6"
"out",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",1.99996000079998e-05,0,0,0,0,0
"elt",0.000314900806246033,0,0,0,0,0
"elt",0.00126838914578485,0,0,0,0,0
"elt",0.00519289309802829,0.0466611690794084,0.11578370300943,0,0,0
"elt",0.0127210887711833,0.0590493575659489,0.0162902337294405,0,0,0
"elt",0.0295501965160852,0.0739283035292592,0.0579280068582841,0.0831197766479776,0,0
"elt",0.0583981469275532,0.0811948142635317,0.0651671948472016,0.0943259520898429,0,0
"elt",0.0868497228588909,0.0974851423491559,0.0602519464531559,0.0772481694910562,0.0921429511709086,0.0921429511709086
"elt",0.0975584443712464,0.113341549701639,0.0597085096379878,0.0727174941117561,0.0841861849486,0.0841861849486
"elt",0.101987302100452,0.121462238250656,0.0532723640735797,0.0586950689741188,0.0645288031581508,0.0645288031581508
"elt",0.0986118622678926,0.123498992023841,0.0527118491538349,0.0557218534291461,0.0904212259302717,0.0904212259302717
"elt",0.0941741812466881,0.122360499201348,0.0459699385127625,0.0534829461289819,0.0812201396545388,0.0812201396545388
"elt",0.0909875965257546,0.120310706258549,0.0444612194585917,0.0399662068104797,0.0662626696484012,0.0662626696484012
"elt",0.0761441954139798,0.119617561868876,0.040353150040785,0.0347210826568337,0.0623447008410768,0.0623447008410768
"elt",0.063468724538056,0.11480924139152,0.0367573399090699,0.0332466477827512,0.0600576184679879,0.0600576184679879
"elt",0.0556817269692577,0.108281390724343,0.0330503393993309,0.0312799697759351,0.0536531354837489,0.0536531354837489
"elt",0.0429431412520218,0.0946006509821319,0.0298749993936719,0.0260198789342709,0.0497277469995154,0.0497277469995154
"elt",0.03654389024308,0.0816588913786137,0.0270101969331361,0.0217944203153735,0.0387249647933018,0.0387249647933018
"elt",0.0310734736984894,0.0668856375037325,0.0236853923808408,0.0215695003644654,0.0372117652722284,0.0372117652722284
"elt",0.0280032270292863,0.0539620071142057,0.0193963403871423,0.0170830957950815,0.033671709289797,0.033671709289797
"elt",0.0176962029046723,0.0471834743501791,0.0177010274847253,0.0157722496985803,0.0294889774210611,0.0294889774210611
"elt",0.0160095250277977,0.0321144427882847,0.0137386210093399,0.0132958385751992,0.0246281394781761,0.0246281394781761
"elt",0.0109487968192113,0.026820818249056,0.0109977055146768,0.0100970104929717,0.0243283720431052,0.0243283720431052
"elt",0.00874288773021946,0.0218135576640908,0.0081874129064572,0.0106552430325395,0.0205920521045028,0.0205920521045028
"elt",0.0082120046018963,0.0145938648614026,0.0063049948079436,0.00701050582884833,0.0156269226036668,0.0156269226036668
"elt",0.00597409568493355,0.00897865340019424,0.00393445888739479,0.00504937442479417,0.010385998941113,0.010385998941113
"elt",0.00428654641767192,0.00713374404900788,0.00223001591443125,0.00356226490297188,0.0100333123790384,0.0100333123790384
"elt",0.00447984071677451,0.00485630124990049,0.00248381529990324,0.0028070980190763,0.0081628199914702,0.0081628199914702
"elt",0.00214538741705333,0.00417747549031812,0.00112872454126837,0.00191133978431304,0.00609759127751246,0.00609759127751246
"elt",0.00240918182589047,0.00218521438050669,0.00064957777444661,0.00133322015109828,0.00429150361940038,0.00429150361940038
"elt",0.000759422838642632,0.000999000999000999,0.000214953784936239,0.000819328150916249,0.0028269854961185,0.0028269854961185
"elt",0.000384851832044663,0.000599640215870478,0.000394844036605541,0.000229947112164202,0.00161737984465166,0.00161737984465166
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
